descmarca,producto,descrip,claseprod,preciosiva
CELESTAL,CEL235,LLAVE TIPO ALLEN 3.5 MM.,PESOS,"69,94"
CELESTAL,CEL2316,"LLAVE TIPO ALLEN 3/16""",PESOS,"108,21"
CELESTAL,CEL2332,"LLAVE TIPO ALLEN 3/32""",PESOS,"59,39"
CELESTAL,CEL238,"LLAVE TIPO ALLEN 3/8""",PESOS,"415,66"
CELESTAL,CEL24,LLAVE TIPO ALLEN 4 MM.,PESOS,"94,36"
CELESTAL,CEL25,LLAVE TIPO ALLEN 5 MM.,PESOS,"113,48"
CELESTAL,CEL255,LLAVE TIPO ALLEN 5.5 MM.,PESOS,"125,36"
CELESTAL,CEL2516,"LLAVE TIPO ALLEN 5/16""",PESOS,"296,9"
CELESTAL,CEL2532,"LLAVE TIPO ALLEN 5/32""",PESOS,"95,68"
CELESTAL,CEL2564,"LLAVE TIPO ALLEN 5/64""",PESOS,"59,39"
CELESTAL,CEL26,LLAVE TIPO ALLEN 6 MM.,PESOS,"161,11"
CELESTAL,CEL2732,"LLAVE TIPO ALLEN 7/32""",PESOS,"125,36"
CELESTAL,CEL2764,"LLAVE TIPO ALLEN 7/64""",PESOS,"59,39"
CELESTAL,CEL28,LLAVE TIPO ALLEN 8 MM.,PESOS,"296,9"
CELESTAL,CEL29,LLAVE TIPO ALLEN 9 MM.,PESOS,"395,87"
CELESTAL,CEL295,LLAVE TIPO ALLEN 9.5 MM.,PESOS,"442,05"
CELESTAL,CEL2964,"LLAVE TIPO ALLEN 9/64""",PESOS,"69,94"
CORTAMAX,COR3577_SA,LLAVE TIPO B Y D 6MM.,PESOS,0
CORTAMAX,COR3578_SA,LLAVE TIPO B Y D DE 10MM.,PESOS,"1546,3"
CORTAMAX,COR3579_SA,LLAVE TIPO B Y D DE 13MM.,PESOS,"1584,68"
BIASSONI.,BIA15,LLAVE TIPO CALIFORNIA CHICA,PESOS,"2067,76"
BIASSONI.,BIA20,LLAVE TIPO CALIFORNIA CURVA.,PESOS,"3171,37"
BIASSONI.,BIA10,LLAVE TIPO CALIFORNIA RECTA.,PESOS,"3027,44"
LIN,LIN1004_SA,LLAVE TRABA AMOLADORA,PESOS,"621,18"
LIN.,LIN60,LLAVE TRABA EJE AMOLADORA,PESOS,"623,14"
LIN,LIN1002_SA,"LLAVE TUERCA AMOLADORA 4,5",PESOS,"771,12"
LIN,LIN1003_SA,LLAVE TUERCA AMOLADORA 7,PESOS,"771,12"
DIAMANTE,DIA0106_SA,LLAVERO AUTOMATICO,PESOS,"1449,7"
DIAMANTE,DIA0104_SA,LLAVERO RECTANGULAR COLOR,PESOS,"949,94"
DIAMANTE,DIA0103_SA,LLAVERO RECTANGULAR CROMADO,PESOS,"1228,98"
DIAMANTE,DIA0101_SA,LLAVERO REDONDO COLOR,PESOS,"949,94"
DIAMANTE,DIA0102_SA,LLAVERO REDONDO CROMADO,PESOS,"1126,88"
PERROTTA,PER46,"LLAVES "" T "" B/CUADRADA NÂº500 DE  6 MM.",PESOS,"645,31"
PERROTTA,PER47,"LLAVES "" T "" B/CUADRADA NÂº500 DE  7 MM.",PESOS,"645,31"
PERROTTA,PER48,"LLAVES "" T "" B/CUADRADA NÂº500 DE  8 MM.",PESOS,"645,31"
PERROTTA,PER49,"LLAVES "" T "" B/CUADRADA NÂº500 DE  9 MM.",PESOS,"945,72"
PERROTTA,PER312,"LLAVES "" T "" B/CUADRADA NÂº500 DE 1/2 MM.",PESOS,1057
PERROTTA,PER314,"LLAVES "" T "" B/CUADRADA NÂº500 DE 1/4 MM.",PESOS,"645,31"
PERROTTA,PER410,"LLAVES "" T "" B/CUADRADA NÂº500 DE 10 MM.",PESOS,"945,72"
PERROTTA,PER411,"LLAVES "" T "" B/CUADRADA NÂº500 DE 11 MM.",PESOS,1057
PERROTTA,PER412,"LLAVES "" T "" B/CUADRADA NÂº500 DE 12 MM.",PESOS,1057
PERROTTA,PER3316,"LLAVES "" T "" B/CUADRADA NÂº500 DE 3/16 MM.",PESOS,"645,31"
PERROTTA,PER338,"LLAVES "" T "" B/CUADRADA NÂº500 DE 3/8 MM.",PESOS,"945,72"
